id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form
5112,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 54%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 21%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 79%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 46%. The overall probability of CEO's decision to fire the employee is 92%. Will manager signing the termination letter increase the chance of employee being fired?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.54
P(Y=1 | V1=0, X=1) = 0.21
P(Y=1 | V1=1, X=0) = 0.79
P(Y=1 | V1=1, X=1) = 0.46
P(V1=1) = 0.92
0.08 * (0.21 - 0.54) 0.92 * (0.46 - 0.79) = -0.33
-0.33 < 0",2,ate,diamondcut,firing_employee,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)]
5120,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 35%. For managers who don't sign termination letters, the probability of employee being fired is 76%. For managers who sign termination letters, the probability of employee being fired is 42%. Is employee being fired less likely than employee not being fired overall?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.35
P(Y=1 | X=0) = 0.76
P(Y=1 | X=1) = 0.42
0.35*0.42 - 0.65*0.76 = 0.64
0.64 > 0",1,marginal,diamondcut,firing_employee,hard,P(Y)
5128,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 44%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 7%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 76%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 34%. The overall probability of CEO's decision to fire the employee is 89%. Will manager signing the termination letter increase the chance of employee being fired?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.44
P(Y=1 | V1=0, X=1) = 0.07
P(Y=1 | V1=1, X=0) = 0.76
P(Y=1 | V1=1, X=1) = 0.34
P(V1=1) = 0.89
0.11 * (0.07 - 0.44) 0.89 * (0.34 - 0.76) = -0.41
-0.41 < 0",2,ate,diamondcut,firing_employee,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)]
5136,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 27%. The probability of manager not signing the termination letter and employee being fired is 65%. The probability of manager signing the termination letter and employee being fired is 11%. Is the chance of employee being fired larger when observing manager signing the termination letter?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.27
P(Y=1, X=0=1) = 0.65
P(Y=1, X=1=1) = 0.11
0.11/0.27 - 0.65/0.73 = -0.47
-0.47 < 0",1,correlation,diamondcut,firing_employee,hard,P(Y | X)
5144,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 53%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 22%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 73%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 42%. The overall probability of CEO's decision to fire the employee is 81%. Will manager signing the termination letter decrease the chance of employee being fired?",yes,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.53
P(Y=1 | V1=0, X=1) = 0.22
P(Y=1 | V1=1, X=0) = 0.73
P(Y=1 | V1=1, X=1) = 0.42
P(V1=1) = 0.81
0.19 * (0.22 - 0.53) 0.81 * (0.42 - 0.73) = -0.32
-0.32 < 0",2,ate,diamondcut,firing_employee,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)]
5160,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. Method 1: We look directly at how manager correlates with employee in general. Method 2: We look at this correlation case by case according to director. To understand how manager affects employee, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamondcut,firing_employee,hard,[backdoor adjustment set for Y given X]
5176,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. Method 1: We look at how manager correlates with employee case by case according to director. Method 2: We look directly at how manager correlates with employee in general. To understand how manager affects employee, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamondcut,firing_employee,hard,[backdoor adjustment set for Y given X]
5184,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 57%. The probability of manager not signing the termination letter and employee being fired is 37%. The probability of manager signing the termination letter and employee being fired is 21%. Is the chance of employee being fired smaller when observing manager signing the termination letter?",yes,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.57
P(Y=1, X=0=1) = 0.37
P(Y=1, X=1=1) = 0.21
0.21/0.57 - 0.37/0.43 = -0.47
-0.47 < 0",1,correlation,diamondcut,firing_employee,hard,P(Y | X)
5208,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. Method 1: We look at how the captain correlates with prisoner case by case according to the private. Method 2: We look directly at how the captain correlates with prisoner in general. To understand how the captain affects prisoner, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamond,firing_squad,hard,[backdoor adjustment set for Y given X]
5264,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. Method 1: We look directly at how the captain correlates with prisoner in general. Method 2: We look at this correlation case by case according to the private. To understand how the captain affects prisoner, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamond,firing_squad,hard,[backdoor adjustment set for Y given X]
5288,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. For captains who release prisoners, the probability of the prisoner's death is 31%. For captains who execute prisoners, the probability of the prisoner's death is 68%. For captains who execute prisoners, would it be more likely to see the prisoner's death if the captain had ordered the release of the prisoner?",no,"Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.31
P(Y=1 | X=1) = 0.68
0.68 - 0.31 = 0.37
0.37 > 0",3,ett,diamond,firing_squad,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5312,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. The overall probability of the captain's order to execute the prisoner is 8%. The probability of the captain's order to release the prisoner and the prisoner's death is 27%. The probability of the captain's order to execute the prisoner and the prisoner's death is 6%. Is the chance of the prisoner's death larger when observing the captain's order to execute the prisoner?",yes,"Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.08
P(Y=1, X=0=1) = 0.27
P(Y=1, X=1=1) = 0.06
0.06/0.08 - 0.27/0.92 = 0.44
0.44 > 0",1,correlation,diamond,firing_squad,hard,P(Y | X)
5352,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 46%. For in the rainy season, the probability of wet ground is 44%. For in the rainy season, would it be less likely to see wet ground if the season had been dry?",no,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.46
P(Y=1 | X=1) = 0.44
0.44 - 0.46 = -0.02
-0.02 < 0",3,ett,diamond,floor_wet,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5392,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. Method 1: We look directly at how season correlates with ground in general. Method 2: We look at this correlation case by case according to sprinkler. To understand how season affects ground, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamond,floor_wet,hard,[backdoor adjustment set for Y given X]
5400,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 43%. For in the rainy season, the probability of wet ground is 53%. For in the rainy season, would it be more likely to see wet ground if the season had been dry?",no,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.43
P(Y=1 | X=1) = 0.53
0.53 - 0.43 = 0.09
0.09 > 0",3,ett,diamond,floor_wet,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5408,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. Method 1: We look directly at how season correlates with ground in general. Method 2: We look at this correlation case by case according to sprinkler. To understand how season affects ground, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamond,floor_wet,hard,[backdoor adjustment set for Y given X]
5416,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 46%. For in the rainy season, the probability of wet ground is 57%. For in the rainy season, would it be less likely to see wet ground if the season had been dry?",yes,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.46
P(Y=1 | X=1) = 0.57
0.57 - 0.46 = 0.11
0.11 > 0",3,ett,diamond,floor_wet,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5432,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 43%. For in the rainy season, the probability of wet ground is 39%. Will rainy season increase the chance of wet ground?",no,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.43
P(Y=1 | X=1) = 0.39
0.39 - 0.43 = -0.04
-0.04 < 0",2,ate,diamond,floor_wet,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)]
5440,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 56%. For in the rainy season, the probability of wet ground is 52%. Will rainy season decrease the chance of wet ground?",yes,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.56
P(Y=1 | X=1) = 0.52
0.52 - 0.56 = -0.04
-0.04 < 0",2,ate,diamond,floor_wet,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)]
5480,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The camper has a direct effect on the forest. The smoker has a direct effect on the forest. The overall probability of the camper lighting a match is 99%. The probability of the camper not lighting a match and the forest on fire is 1%. The probability of the camper lighting a match and the forest on fire is 59%. Is the chance of the forest on fire smaller when observing the camper lighting a match?",yes,"Let V2 = the smoker; X = the camper; Y = the forest.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.99
P(Y=1, X=0=1) = 0.01
P(Y=1, X=1=1) = 0.59
0.59/0.99 - 0.01/0.01 = -0.35
-0.35 < 0",1,correlation,fork,forest_fire,hard,P(Y | X)
5512,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The camper has a direct effect on the forest. The smoker has a direct effect on the forest. For campers who do not light a match, the probability of the forest on fire is 83%. For campers who light a match, the probability of the forest on fire is 48%. For campers who light a match, would it be less likely to see the forest on fire if the camper had not lit a match?",no,"Let V2 = the smoker; X = the camper; Y = the forest.
X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.83
P(Y=1 | X=1) = 0.48
0.48 - 0.83 = -0.34
-0.34 < 0",3,ett,fork,forest_fire,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5544,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The camper has a direct effect on the forest. The smoker has a direct effect on the forest. Method 1: We look directly at how the camper correlates with the forest in general. Method 2: We look at this correlation case by case according to the smoker. To understand how the camper affects the forest, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,forest_fire,hard,[backdoor adjustment set for Y given X]
5552,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The camper has a direct effect on the forest. The smoker has a direct effect on the forest. The overall probability of the camper lighting a match is 93%. For campers who do not light a match, the probability of the forest on fire is 82%. For campers who light a match, the probability of the forest on fire is 50%. Is the forest on fire less likely than the forest not on fire overall?",no,"Let V2 = the smoker; X = the camper; Y = the forest.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.93
P(Y=1 | X=0) = 0.82
P(Y=1 | X=1) = 0.50
0.93*0.50 - 0.07*0.82 = 0.52
0.52 > 0",1,marginal,fork,forest_fire,hard,P(Y)
5560,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The camper has a direct effect on the forest. The smoker has a direct effect on the forest. Method 1: We look directly at how the camper correlates with the forest in general. Method 2: We look at this correlation case by case according to the smoker. To understand how the camper affects the forest, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,forest_fire,hard,[backdoor adjustment set for Y given X]
5600,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. Method 1: We look at how Alice waking up correlates with Alice arriving to school case by case according to traffic. Method 2: We look directly at how Alice waking up correlates with Alice arriving to school in general. To understand how Alice waking up affects Alice arriving to school, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,getting_late,hard,[backdoor adjustment set for Y given X]
5624,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. The overall probability of waking up late is 12%. The probability of waking up on time and arriving to school on time is 37%. The probability of waking up late and arriving to school on time is 9%. Is the chance of arriving to school on time larger when observing waking up late?",yes,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.12
P(Y=1, X=0=1) = 0.37
P(Y=1, X=1=1) = 0.09
0.09/0.12 - 0.37/0.88 = 0.34
0.34 > 0",1,correlation,fork,getting_late,hard,P(Y | X)
5632,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. The overall probability of waking up late is 17%. For days when Alice wakes up on time, the probability of arriving to school on time is 38%. For days when Alice wakes up late, the probability of arriving to school on time is 72%. Is arriving to school on time more likely than arriving to school late overall?",no,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.17
P(Y=1 | X=0) = 0.38
P(Y=1 | X=1) = 0.72
0.17*0.72 - 0.83*0.38 = 0.44
0.44 > 0",1,marginal,fork,getting_late,hard,P(Y)
5680,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. For days when Alice wakes up on time, the probability of arriving to school on time is 47%. For days when Alice wakes up late, the probability of arriving to school on time is 86%. For days when Alice wakes up late, would it be more likely to see arriving to school on time if Alice had gotten up on time?",no,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.47
P(Y=1 | X=1) = 0.86
0.86 - 0.47 = 0.39
0.39 > 0",3,ett,fork,getting_late,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5704,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. For people not using tanning salon treatments, the probability of tanned skin is 59%. For people who went to tanning salons, the probability of tanned skin is 21%. For people who went to tanning salons, would it be more likely to see tanned skin if the person had not had a tanning salon treatment?",yes,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.59
P(Y=1 | X=1) = 0.21
0.21 - 0.59 = -0.38
-0.38 < 0",3,ett,fork,getting_tanned,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5720,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. The overall probability of tanning salon treatment is 93%. The probability of no tanning salon treatment and tanned skin is 5%. The probability of tanning salon treatment and tanned skin is 26%. Is the chance of tanned skin larger when observing tanning salon treatment?",no,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.93
P(Y=1, X=0=1) = 0.05
P(Y=1, X=1=1) = 0.26
0.26/0.93 - 0.05/0.07 = -0.47
-0.47 < 0",1,correlation,fork,getting_tanned,hard,P(Y | X)
5728,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. For people not using tanning salon treatments, the probability of tanned skin is 72%. For people who went to tanning salons, the probability of tanned skin is 30%. Will tanning salon treatment increase the chance of tanned skin?",no,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.72
P(Y=1 | X=1) = 0.30
0.30 - 0.72 = -0.43
-0.43 < 0",2,ate,fork,getting_tanned,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)]
5736,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. For people not using tanning salon treatments, the probability of tanned skin is 69%. For people who went to tanning salons, the probability of tanned skin is 28%. For people who went to tanning salons, would it be more likely to see tanned skin if the person had not had a tanning salon treatment?",yes,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.69
P(Y=1 | X=1) = 0.28
0.28 - 0.69 = -0.41
-0.41 < 0",3,ett,fork,getting_tanned,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5776,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. For people not using tanning salon treatments, the probability of tanned skin is 69%. For people who went to tanning salons, the probability of tanned skin is 23%. For people who went to tanning salons, would it be less likely to see tanned skin if the person had not had a tanning salon treatment?",no,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.69
P(Y=1 | X=1) = 0.23
0.23 - 0.69 = -0.46
-0.46 < 0",3,ett,fork,getting_tanned,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1]
5904,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: My decision has a direct effect on penguin mood and penguin survival. Penguin mood has a direct effect on penguin survival. The overall probability of taking the elevator is 19%. For those who choose to take the stairs, the probability of penguin death is 82%. For those who choose to take the elevator, the probability of penguin death is 30%. Is penguin death less likely than penguin lives overall?",no,"Let X = my decision; V2 = penguin mood; Y = penguin survival.
X->V2,X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.19
P(Y=1 | X=0) = 0.82
P(Y=1 | X=1) = 0.30
0.19*0.30 - 0.81*0.82 = 0.72
0.72 > 0",1,marginal,mediation,penguin,hard,P(Y)
5928,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: My decision has a direct effect on penguin mood and penguin survival. Penguin mood has a direct effect on penguin survival. The overall probability of taking the elevator is 11%. For those who choose to take the stairs, the probability of penguin death is 75%. For those who choose to take the elevator, the probability of penguin death is 32%. Is penguin death less likely than penguin lives overall?",no,"Let X = my decision; V2 = penguin mood; Y = penguin survival.
X->V2,X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.11
P(Y=1 | X=0) = 0.75
P(Y=1 | X=1) = 0.32
0.11*0.32 - 0.89*0.75 = 0.69
0.69 > 0",1,marginal,mediation,penguin,hard,P(Y)
6000,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival. For unvaccinated individuals, the probability of smallpox survival is 49%. For vaccinated individuals, the probability of smallpox survival is 49%. Will vaccination decrease the chance of smallpox survival?",no,"Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.49
P(Y=1 | X=1) = 0.49
0.49 - 0.49 = -0.00
0.00 = 0",2,ate,diamond,vaccine_kills,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)]
6008,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival. Method 1: We look directly at how vaccination status correlates with smallpox survival in general. Method 2: We look at this correlation case by case according to vaccination reaction. To understand how vaccination status affects smallpox survival, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,diamond,vaccine_kills,hard,[backdoor adjustment set for Y given X]
6080,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival. The overall probability of vaccination is 1%. For unvaccinated individuals, the probability of smallpox survival is 51%. For vaccinated individuals, the probability of smallpox survival is 44%. Is smallpox survival less likely than smallpox death overall?",no,"Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.
X->V3,X->V2,V2->Y,V3->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.01
P(Y=1 | X=0) = 0.51
P(Y=1 | X=1) = 0.44
0.01*0.44 - 0.99*0.51 = 0.51
0.51 > 0",1,marginal,diamond,vaccine_kills,hard,P(Y)
